Category: All categories

Week,mental health: (Worldwide)
2016-07-17,29
2016-07-24,31
2016-07-31,31
2016-08-07,31
2016-08-14,30
2016-08-21,31
2016-08-28,32
2016-09-04,33
2016-09-11,36
2016-09-18,36
2016-09-25,36
2016-10-02,37
2016-10-09,47
2016-10-16,36
2016-10-23,37
2016-10-30,38
2016-11-06,37
2016-11-13,40
2016-11-20,32
2016-11-27,38
2016-12-04,37
2016-12-11,31
2016-12-18,26
2016-12-25,23
2017-01-01,32
2017-01-08,38
2017-01-15,35
2017-01-22,41
2017-01-29,39
2017-02-05,40
2017-02-12,38
2017-02-19,39
2017-02-26,40
2017-03-05,41
2017-03-12,38
2017-03-19,41
2017-03-26,40
2017-04-02,41
2017-04-09,36
2017-04-16,43
2017-04-23,42
2017-04-30,46
2017-05-07,46
2017-05-14,39
2017-05-21,36
2017-05-28,33
2017-06-04,36
2017-06-11,33
2017-06-18,35
2017-06-25,34
2017-07-02,32
2017-07-09,35
2017-07-16,35
2017-07-23,36
2017-07-30,36
2017-08-06,34
2017-08-13,34
2017-08-20,36
2017-08-27,36
2017-09-03,35
2017-09-10,37
2017-09-17,39
2017-09-24,41
2017-10-01,44
2017-10-08,64
2017-10-15,44
2017-10-22,43
2017-10-29,42
2017-11-05,44
2017-11-12,44
2017-11-19,34
2017-11-26,41
2017-12-03,44
2017-12-10,37
2017-12-17,32
2017-12-24,24
2017-12-31,32
2018-01-07,40
2018-01-14,40
2018-01-21,42
2018-01-28,44
2018-02-04,45
2018-02-11,47
2018-02-18,46
2018-02-25,41
2018-03-04,44
2018-03-11,43
2018-03-18,45
2018-03-25,42
2018-04-01,39
2018-04-08,43
2018-04-15,41
2018-04-22,45
2018-04-29,51
2018-05-06,46
2018-05-13,49
2018-05-20,43
2018-05-27,38
2018-06-03,44
2018-06-10,43
2018-06-17,40
2018-06-24,37
2018-07-01,35
2018-07-08,37
2018-07-15,39
2018-07-22,41
2018-07-29,39
2018-08-05,39
2018-08-12,37
2018-08-19,40
2018-08-26,43
2018-09-02,43
2018-09-09,44
2018-09-16,48
2018-09-23,47
2018-09-30,50
2018-10-07,87
2018-10-14,49
2018-10-21,47
2018-10-28,47
2018-11-04,49
2018-11-11,49
2018-11-18,39
2018-11-25,48
2018-12-02,48
2018-12-09,42
2018-12-16,38
2018-12-23,25
2018-12-30,36
2019-01-06,44
2019-01-13,48
2019-01-20,46
2019-01-27,49
2019-02-03,51
2019-02-10,49
2019-02-17,48
2019-02-24,48
2019-03-03,50
2019-03-10,47
2019-03-17,52
2019-03-24,50
2019-03-31,51
2019-04-07,49
2019-04-14,48
2019-04-21,46
2019-04-28,58
2019-05-05,55
2019-05-12,60
2019-05-19,50
2019-05-26,43
2019-06-02,46
2019-06-09,47
2019-06-16,47
2019-06-23,43
2019-06-30,38
2019-07-07,43
2019-07-14,41
2019-07-21,43
2019-07-28,42
2019-08-04,44
2019-08-11,44
2019-08-18,43
2019-08-25,44
2019-09-01,46
2019-09-08,54
2019-09-15,54
2019-09-22,54
2019-09-29,56
2019-10-06,100
2019-10-13,58
2019-10-20,55
2019-10-27,53
2019-11-03,53
2019-11-10,54
2019-11-17,55
2019-11-24,43
2019-12-01,51
2019-12-08,47
2019-12-15,42
2019-12-22,28
2019-12-29,36
2020-01-05,48
2020-01-12,51
2020-01-19,52
2020-01-26,53
2020-02-02,56
2020-02-09,54
2020-02-16,56
2020-02-23,55
2020-03-01,57
2020-03-08,49
2020-03-15,43
2020-03-22,44
2020-03-29,46
2020-04-05,45
2020-04-12,46
2020-04-19,48
2020-04-26,52
2020-05-03,56
2020-05-10,54
2020-05-17,61
2020-05-24,48
2020-05-31,50
2020-06-07,50
2020-06-14,55
2020-06-21,51
2020-06-28,46
2020-07-05,48
2020-07-12,47
2020-07-19,51
2020-07-26,47
2020-08-02,47
2020-08-09,49
2020-08-16,50
2020-08-23,49
2020-08-30,50
2020-09-06,55
2020-09-13,56
2020-09-20,58
2020-09-27,55
2020-10-04,91
2020-10-11,64
2020-10-18,55
2020-10-25,51
2020-11-01,48
2020-11-08,55
2020-11-15,54
2020-11-22,45
2020-11-29,49
2020-12-06,49
2020-12-13,45
2020-12-20,31
2020-12-27,33
2021-01-03,45
2021-01-10,49
2021-01-17,49
2021-01-24,55
2021-01-31,58
2021-02-07,51
2021-02-14,51
2021-02-21,55
2021-02-28,54
2021-03-07,55
2021-03-14,54
2021-03-21,54
2021-03-28,49
2021-04-04,52
2021-04-11,54
2021-04-18,57
2021-04-25,58
2021-05-02,68
2021-05-09,69
2021-05-16,60
2021-05-23,56
2021-05-30,51
2021-06-06,52
2021-06-13,50
2021-06-20,49
2021-06-27,50
2021-07-04,45
2021-07-11,57
